text,label
"Witness history in the making, as the honourable George Washington, commander of the Continental Army, poses for a handsome portrait in full military regalia.  

#military #history #nft #nfts #nftart #museum #museums #art #usa #washington #clevelandartmuseum  ",MISINFORMED_OR_POTENTIALLY_MISLEADING
"VP Harris has NOT moved into the Vice Presidential residence -- all this showing that Biden and Harris are under house-arrest and are being tightly controlled by the interim military govt.

Deep State elite arrests continue domestically and globally behind the scenes...",MISINFORMED_OR_POTENTIALLY_MISLEADING
"Hey, great news, Google Chromium just started a war and I'm going to enjoy this one

 ",MISINFORMED_OR_POTENTIALLY_MISLEADING
"My conversation with AARON BABBITT, husband of the late Ashli Babbitt. She was MURDERED on January Sixth by the  .  Aaron was her devoted husband.  And like Ashli, a US Military Veteran.  . In two parts:

 

 ",MISINFORMED_OR_POTENTIALLY_MISLEADING
"The only president in 20 years with the balls to end an absurd conflict 

Thanks   

 #BidenLiedPeopleDied  ",NOT_MISLEADING
"We left behind $85 billion of military equipment to terrorists who chant “Death to America”.

No one involved should be able to keep their job after that.",MISINFORMED_OR_POTENTIALLY_MISLEADING
"‘Joe Biden has left Afghanistan, and left behind $85 billion worth of American military equipment’

Nigel Farage says ‘when the British left Dunkirk, they smashed and destroyed everything. Effectively what Biden has done is arm the Taliban’  ",MISINFORMED_OR_POTENTIALLY_MISLEADING
Hi I’m Mister Ed. And I’m War Horse. And we have worms. We’re here to tell you why.,NOT_MISLEADING
We are seeing proof every day that climate change is not a challenge for the future but a crisis we must confront today. Losing part of the Antarctic ice shelf is the first stage of a cascade of melting that would harm millions of people worldwide.  ,NOT_MISLEADING
Russia Withdraws Troops From Ukraine Border After Media Said Invasion Was Imminent,MISINFORMED_OR_POTENTIALLY_MISLEADING
"Stephen Miller was one of the very best members of the Trump White House.

He was a patriot who understood policy and understood how to work within the confines of Washington, DC.

It's a disgrace how anti-American Democrats attack him on a regular basis.",MISINFORMED_OR_POTENTIALLY_MISLEADING
A US Senator (R) Just Posted A Picture Of What Looks To Be Young Jen Psaki Wearing A USSR Hat,MISINFORMED_OR_POTENTIALLY_MISLEADING
My thoughts as the last U.S. military personnel left #Afghanistan today—at the direction of the President—leaving hundreds of Americans who wanted to be rescued trapped behind Taliban-controlled lines. ⬇️,MISINFORMED_OR_POTENTIALLY_MISLEADING
"Nothing of the catastrophic withdrawal over the last month takes away from the extraordinary contributions of our service men &amp; women. We're going to stand tomorrow, remember 9/11 &amp; reflect on the fact that we've gone 20 years without a major terrorist attack on American soil.",MISINFORMED_OR_POTENTIALLY_MISLEADING
He did tell them to march on the Capitol and when the attack started he refused direct entreaties for several hours to call in assistance -- reportedly while being surprised his WH aides weren't as thrilled as he was at the goings-on.,MISINFORMED_OR_POTENTIALLY_MISLEADING
"On one hand,   wants to supersize the IRS by adding 87,000 new agents to beef up audits on working class families. 

On the other, Biden is doing nothing to support our Border Patrol agents doing everything they can to combat the border crisis he created.",MISINFORMED_OR_POTENTIALLY_MISLEADING
"""Since the onset of COVID-19, the volume of youth who’ve reached out to the Trevor Project’s crisis services has increased “significantly,” Giordano said, at times double the organization’s pre-COVID volume""
 ",NOT_MISLEADING
"Biden’s military policies have helped the Taliban. His energy policies have helped Russia. His border policies have helped people come here illegally. His domestic policies pay people not to work. What has he done, other than not tweet, that hasn’t backfired?",MISINFORMED_OR_POTENTIALLY_MISLEADING
"Ah yes...

Lets attack the safest cars on the road because   and   bad.

  is leading the charge in automotive safety and this is the hill the   and   want to die on.  ",MISINFORMED_OR_POTENTIALLY_MISLEADING
"Y’all kidding right. 

Every native Washingtonian and person who lived in the city (before the circulator) knows why Georgetown never had a metro station. It was never a question.  ",MISINFORMED_OR_POTENTIALLY_MISLEADING
Today's cover: Editorial: Joe Biden brings a dishonorable end to America’s longest war,MISINFORMED_OR_POTENTIALLY_MISLEADING
"After 4 years of the press reporting on every potential/theoretical conflict of the President &amp; his family, barely a peep is made when the Vice President's book is in a welcome gift bag for migrants entering the country and the White House refuses to answer how or why it happened",MISINFORMED_OR_POTENTIALLY_MISLEADING
"Trump statement on the billions of U.S military weapons seized by the Taliban

“ALL EQUIPMENT should be demanded to be immediately returned to the U.S…If it is not handed back, we should either go in with unequivocal Military force &amp; get it, or at least bomb the hell out of it”  ",MISINFORMED_OR_POTENTIALLY_MISLEADING
"NEW FROM 45: 

“…ALL EQUIPMENT should be demanded to be immediately returned to the United States…If it is not handed back, we should either go in with unequivocal Military force and get it, or at least bomb the hell out of it.”  ",MISINFORMED_OR_POTENTIALLY_MISLEADING
"President Trump is our Leader. He is our defense and friend. He's a man who loves this country and it's citizens! 🇺🇸

SHARE this post if you still stand with Trump!

Senator Rand Paul  ",MISINFORMED_OR_POTENTIALLY_MISLEADING
"America's longest war in Afghanistan just ended in disaster. Now, Americans want to know who's to blame. Join One America's Scott Wheeler as he dives deep into first hand accounts of the mistakes, malfeasance, lies and cover-ups. #OANN  ",MISINFORMED_OR_POTENTIALLY_MISLEADING
"Of all people, he says he doesn’t think enough of us understand the commitment our military makes. From a man who looked at his watch every time a casket went by. And then he brings up Beau! This is just inexplicable. Shallow patronizing with a goal of only redeeming himself",MISINFORMED_OR_POTENTIALLY_MISLEADING
"Remember when freezing military aid to Ukraine was an impeachable offense? 

 ",MISINFORMED_OR_POTENTIALLY_MISLEADING
Indian military force vaccinated its troops any many of them dropped dead...,MISINFORMED_OR_POTENTIALLY_MISLEADING
"Don’t let the narrative get hijacked: TFG did nothing for 70 days as the virus spread. Allowing a pandemic to take root. 
Then RW media decided for us any form of combating the virus was an attack on our personal freedoms.
Now they want to blame Biden for “not doing enough”?🙄😡",MISINFORMED_OR_POTENTIALLY_MISLEADING
"Breaking News: The Republican Party officially declared the Jan. 6 attack on the Capitol “legitimate political discourse” and censured two of its own members, Representatives Liz Cheney and Adam Kinzinger, for investigating it.  ",MISINFORMED_OR_POTENTIALLY_MISLEADING
"It was only a question of time before the all-out war on Rogan began. He's way too big and off-key to permit him to keep going. The concept of free speech in the US is a mirage: you have it right up to the line where it matters or can threaten power centers, then you don't.  ",NOT_MISLEADING
"#BREAKING 
Taliban have seized dozens of military helicopter and planes at the Kabul airport.  ",MISINFORMED_OR_POTENTIALLY_MISLEADING
"The crisis on the border has not made me forget about the stolen election.  

President Trump won in a landslide!",MISINFORMED_OR_POTENTIALLY_MISLEADING
"Your occasional reminder that the Covid crisis hoax and the climate crisis hoax are, in fact, the same hoax.

Take a tiny grain of truth, use junk science and vested interests to blow it up out of all proportion to scare ordinary people into giving up their freedom &amp; prosperity.  ",MISINFORMED_OR_POTENTIALLY_MISLEADING
The most evocative image to come out of Afghanistan. Disaster for US image as a global super power. This needless haste and panic to exit has caused great loss of face for the US military . These are images far worse than  Saigon and will haunt the US for a long time.,MISINFORMED_OR_POTENTIALLY_MISLEADING
"This confirms EXACTLY what I have been saying: Former KGB Spy Claims Russia Groomed Trump to Be an Asset for 40 Years, Felt He Was 'Vulnerable Intellectually, and Psychologically'   via @mediaite",MISINFORMED_OR_POTENTIALLY_MISLEADING
"This is the latest manipulative take on the right.

They are manipulating the fact that most people don’t know the layout the Capitol complex.

We were all on the Capitol complex - the attack wasn’t just on the dome.

The bombs Trump supporters planted surrounded our offices too.  ",MISINFORMED_OR_POTENTIALLY_MISLEADING
"GOP lawmaker falsely claims Jan. 6 attack was not an ""armed insurrection""    ",MISINFORMED_OR_POTENTIALLY_MISLEADING
"and after Putin provided the help that Trump welcomed, and Trump became president, he advanced Putin's objectives by defending him, dividing the United States, and weakening NATO  ",MISINFORMED_OR_POTENTIALLY_MISLEADING
"@justinjdean   Perpetuating the failed ideology of a racist, xenophobic, misogynist, traitor who is responsible for the attack on our nation’s Capitol and who’s incompetence cost the life of over 400,000 Americans tells me everything I need to know. You keep posting and I’ll keep commenting.",MISINFORMED_OR_POTENTIALLY_MISLEADING
"Your friendly Reminder that THIS was a ""SUCCESS""! ALL while the Taliban are using the Biden/Harris Administration's Military equipment to HANG people and parade them HIGH above Afghanistan for ALL to see!
ALL while, they LEFT AMERICANS and Service Dogs BEHIND!
Figure it out, yet?  ",MISINFORMED_OR_POTENTIALLY_MISLEADING
"Something bad just went down near Morgantown, WV

A Moderna shipment truck crashed, hazmat dispatched, airspace shut down and now apparently Emergency Response is claiming the Department of Defense took it over 

 ",MISINFORMED_OR_POTENTIALLY_MISLEADING
"Joe Biden is actively allowing EVERY COUNTRY ON EARTH to invade us via the southern border. 

How in HELL is he not being impeached yet?!

#FJBiden",MISINFORMED_OR_POTENTIALLY_MISLEADING
"With Biden threatening war with nuclear Russia, it’s time for the Judiciary Committee to take up Congresswoman Greene’s first set of Articles of Impeachment.

Joe Biden is compromised because of his son Hunter Biden’s business dealings in Ukraine.

He must be impeached!  ",MISINFORMED_OR_POTENTIALLY_MISLEADING
President Biden just confused President Trump with Vladimir Putin after meeting with Putin for nearly FOUR hours.,MISINFORMED_OR_POTENTIALLY_MISLEADING
"JUST POSTED. How Russiagate denialists use the discredited Steele dossier as a false flag to protect Trump &amp; cover up the Trump-Russia scandal's core elements: Putin attacked the US to help Trump win &amp; Trump aided &amp; abetted that assault. Please read &amp; RT.
 ",MISINFORMED_OR_POTENTIALLY_MISLEADING
"NEW: Ashli Babbitt cheated on her husband with someone else’s boyfriend, then hunted the woman whose boyfriend it was down &amp; purposely rammed into her car 3 times in a row. 

Then Babbitt participated in the Jan. 6th domestic terror attack on the Capitol.

This is the GOP’s hero.  ",MISINFORMED_OR_POTENTIALLY_MISLEADING
No not Russia Russia Russia again!  That has been debunked!  Please refer to mueller report!  Sheep!!!!,MISINFORMED_OR_POTENTIALLY_MISLEADING
