text,label,metadata
"Witness history in the making, as the honourable George Washington, commander of the Continental Army, poses for a handsome portrait in full military regalia.  

#military #history #nft #nfts #nftart #museum #museums #art #usa #washington #clevelandartmuseum  ",MISINFORMED_OR_POTENTIALLY_MISLEADING,1370042525671514120
"VP Harris has NOT moved into the Vice Presidential residence -- all this showing that Biden and Harris are under house-arrest and are being tightly controlled by the interim military govt.

Deep State elite arrests continue domestically and globally behind the scenes...",MISINFORMED_OR_POTENTIALLY_MISLEADING,1357029328702238720
"Hey, great news, Google Chromium just started a war and I'm going to enjoy this one

 ",MISINFORMED_OR_POTENTIALLY_MISLEADING,1458555850524663815
"My conversation with AARON BABBITT, husband of the late Ashli Babbitt. She was MURDERED on January Sixth by the  .  Aaron was her devoted husband.  And like Ashli, a US Military Veteran.  . In two parts:

 

 ",MISINFORMED_OR_POTENTIALLY_MISLEADING,1440684794598232069
"The only president in 20 years with the balls to end an absurd conflict 

Thanks   

 #BidenLiedPeopleDied  ",NOT_MISLEADING,1432298634499039232
"We left behind $85 billion of military equipment to terrorists who chant “Death to America”.

No one involved should be able to keep their job after that.",MISINFORMED_OR_POTENTIALLY_MISLEADING,1432695080905740288
"‘Joe Biden has left Afghanistan, and left behind $85 billion worth of American military equipment’

Nigel Farage says ‘when the British left Dunkirk, they smashed and destroyed everything. Effectively what Biden has done is arm the Taliban’  ",MISINFORMED_OR_POTENTIALLY_MISLEADING,1432770802550718464
Hi I’m Mister Ed. And I’m War Horse. And we have worms. We’re here to tell you why.,NOT_MISLEADING,1434181836301914112
We are seeing proof every day that climate change is not a challenge for the future but a crisis we must confront today. Losing part of the Antarctic ice shelf is the first stage of a cascade of melting that would harm millions of people worldwide.   ,NOT_MISLEADING,1470809047301599237
Russia Withdraws Troops From Ukraine Border After Media Said Invasion Was Imminent  ,MISINFORMED_OR_POTENTIALLY_MISLEADING,1493559549248380928
"Stephen Miller was one of the very best members of the Trump White House.

He was a patriot who understood policy and understood how to work within the confines of Washington, DC.

It's a disgrace how anti-American Democrats attack him on a regular basis.",MISINFORMED_OR_POTENTIALLY_MISLEADING,1361837636390973441
A US Senator (R) Just Posted A Picture Of What Looks To Be Young Jen Psaki Wearing A USSR Hat  ,MISINFORMED_OR_POTENTIALLY_MISLEADING,1448126930713251843
My thoughts as the last U.S. military personnel left #Afghanistan today—at the direction of the President—leaving hundreds of Americans who wanted to be rescued trapped behind Taliban-controlled lines. ⬇️  ,MISINFORMED_OR_POTENTIALLY_MISLEADING,1432543754863398916
"Nothing of the catastrophic withdrawal over the last month takes away from the extraordinary contributions of our service men &amp; women. We're going to stand tomorrow, remember 9/11 &amp; reflect on the fact that we've gone 20 years without a major terrorist attack on American soil.",MISINFORMED_OR_POTENTIALLY_MISLEADING,1436368410951229445
  He did tell them to march on the Capitol and when the attack started he refused direct entreaties for several hours to call in assistance -- reportedly while being surprised his WH aides weren't as thrilled as he was at the goings-on.,MISINFORMED_OR_POTENTIALLY_MISLEADING,1434574756733505543
"On one hand,   wants to supersize the IRS by adding 87,000 new agents to beef up audits on working class families. 

On the other, Biden is doing nothing to support our Border Patrol agents doing everything they can to combat the border crisis he created.",MISINFORMED_OR_POTENTIALLY_MISLEADING,1466795277403185152
"""Since the onset of COVID-19, the volume of youth who’ve reached out to the Trevor Project’s crisis services has increased “significantly,” Giordano said, at times double the organization’s pre-COVID volume""
 ",NOT_MISLEADING,1384577862389338112
"Biden’s military policies have helped the Taliban. His energy policies have helped Russia. His border policies have helped people come here illegally. His domestic policies pay people not to work. What has he done, other than not tweet, that hasn’t backfired?",MISINFORMED_OR_POTENTIALLY_MISLEADING,1426886001901936643
"Ah yes...

Lets attack the safest cars on the road because   and   bad.

  is leading the charge in automotive safety and this is the hill the   and   want to die on.  ",MISINFORMED_OR_POTENTIALLY_MISLEADING,1357500001849663489
"Y’all kidding right. 

Every native Washingtonian and person who lived in the city (before the circulator) knows why Georgetown never had a metro station. It was never a question.  ",MISINFORMED_OR_POTENTIALLY_MISLEADING,1435772972237737989
Today's cover: Editorial: Joe Biden brings a dishonorable end to America’s longest war    ,MISINFORMED_OR_POTENTIALLY_MISLEADING,1432687847895666691
"After 4 years of the press reporting on every potential/theoretical conflict of the President &amp; his family, barely a peep is made when the Vice President's book is in a welcome gift bag for migrants entering the country and the White House refuses to answer how or why it happened",MISINFORMED_OR_POTENTIALLY_MISLEADING,1387011209644462080
"Trump statement on the billions of U.S military weapons seized by the Taliban

“ALL EQUIPMENT should be demanded to be immediately returned to the U.S…If it is not handed back, we should either go in with unequivocal Military force &amp; get it, or at least bomb the hell out of it”  ",MISINFORMED_OR_POTENTIALLY_MISLEADING,1432404519212699651
"NEW FROM 45: 

“…ALL EQUIPMENT should be demanded to be immediately returned to the United States…If it is not handed back, we should either go in with unequivocal Military force and get it, or at least bomb the hell out of it.”  ",MISINFORMED_OR_POTENTIALLY_MISLEADING,1432400248849244161
"President Trump is our Leader. He is our defense and friend. He's a man who loves this country and it's citizens! 🇺🇸

SHARE this post if you still stand with Trump!

Senator Rand Paul  ",MISINFORMED_OR_POTENTIALLY_MISLEADING,1459336782030512132
"America's longest war in Afghanistan just ended in disaster. Now, Americans want to know who's to blame. Join One America's Scott Wheeler as he dives deep into first hand accounts of the mistakes, malfeasance, lies and cover-ups. #OANN  ",MISINFORMED_OR_POTENTIALLY_MISLEADING,1445162102184824839
"Of all people, he says he doesn’t think enough of us understand the commitment our military makes. From a man who looked at his watch every time a casket went by. And then he brings up Beau! This is just inexplicable. Shallow patronizing with a goal of only redeeming himself",MISINFORMED_OR_POTENTIALLY_MISLEADING,1432794071274336259
"Remember when freezing military aid to Ukraine was an impeachable offense? 

 ",MISINFORMED_OR_POTENTIALLY_MISLEADING,1405986371857170435
Indian military force vaccinated its troops any many of them dropped dead...  ,MISINFORMED_OR_POTENTIALLY_MISLEADING,1430910171094544384
