text,label
Biden's willing to go to war with Russia over Ukraine's borders while ours is wide open,MISINFORMED_OR_POTENTIALLY_MISLEADING
You can’t join the military with a neck tattoo but you can work inside our nations capitol??? 🤔🤔🤔,MISINFORMED_OR_POTENTIALLY_MISLEADING
"20,000+ Deaths Reported to VAERS Following COVID Vaccines • Children's Health Defense  ",MISINFORMED_OR_POTENTIALLY_MISLEADING
Biden Finally Admits ‘There is No Federal Solution’ in the Government’s War on Covid #NoPlanJoe,MISINFORMED_OR_POTENTIALLY_MISLEADING
"After auditing several counties across many states, we discovered that Joe Biden used COVID to steal the election.

He must face a Military tribunal.",MISINFORMED_OR_POTENTIALLY_MISLEADING
"Video of   today that the Jan 6th mass trespassing event violently cracked down by police was a “violent terrorist attack on the capitol.”

The game is over, folks.

Go home and get a life.

You are wasting your time with the GOP.  ",MISINFORMED_OR_POTENTIALLY_MISLEADING
"YouTube bans Dan Bongino, but everyone who pushed Russia Collusion, which was a lie, still has their channels!",MISINFORMED_OR_POTENTIALLY_MISLEADING
"If we’re “at war” with COVID, then withholding life saving medicine from Americans is akin to a war crime. 

Who is responsible? How high up does this decision go? People should be in prison for killing Americans.",MISINFORMED_OR_POTENTIALLY_MISLEADING
"If DC wants to go to war with Russia, why are they kicking our best fighters out of the military for refusing a vaccine that doesn't even protect them from infection?",MISINFORMED_OR_POTENTIALLY_MISLEADING
"“These schools that are force-masking kids, after all this data, after all the evidence is in— it's almost like Japanese soldiers in the 1950s, thinking that the war is still going on. Stop force-masking kids.”   today 🔥  ",MISINFORMED_OR_POTENTIALLY_MISLEADING
Ukraine and Ukrainian government officials are the aggressor in the Russia-Ukraine relationship.,MISINFORMED_OR_POTENTIALLY_MISLEADING
"False statements from the Putin regime blame the victim, Ukraine, for Russia’s aggression.  Russia invaded Ukraine in 2014, occupies Crimea, controls armed forces in the Donbas, and has now amassed more than 100,000 troops on the border with Ukraine while President Putin threatens “retaliatory military-technical” measures if his demands are not met.",NOT_MISLEADING
The West is pushing Ukraine toward a conflict.,MISINFORMED_OR_POTENTIALLY_MISLEADING
"Moscow instigated the current crisis by placing more than 100,000 troops on the border of Ukraine, with no similar military activity on the Ukrainian side of the border.",NOT_MISLEADING
Russian military and intelligence entities are targeting Ukraine with disinformation attempting to paint Ukraine and Ukrainian government officials as the aggressor in the Russia-Ukraine relationship. The Russian government is trying to trick the world into believing Ukraine’s behavior could provoke a global conflict and to convince Russian citizens of the need for Russian military action in Ukraine.,NOT_MISLEADING
"Russia blames others for its own aggression, but it is Moscow’s responsibility to end this crisis peacefully through de-escalation and diplomacy. Moscow invaded Ukraine in 2014, occupies Crimea, and continues to fuel conflict in eastern Ukraine.",NOT_MISLEADING
